ID,Event Type,X,Y,Selector,Content,Timestamp,Created At
314863,mousemove,556,393,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section,,2026-03-21 08:11:50 UTC,2026-03-21 08:11:50 UTC
314864,mousemove,527,432,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:50 UTC,2026-03-21 08:11:51 UTC
314865,mousemove,528,432,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:54 UTC,2026-03-21 08:11:54 UTC
314866,slider,,,.native-slider-5,,2026-03-21 08:11:55 UTC,2026-03-21 08:11:55 UTC
314867,slider,,,.native-slider-5,,2026-03-21 08:11:55 UTC,2026-03-21 08:11:55 UTC
314868,mousemove,809,432,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:55 UTC,2026-03-21 08:11:55 UTC
314869,slider,,,.native-slider-5,,2026-03-21 08:11:55 UTC,2026-03-21 08:11:55 UTC
314870,slider,,,.native-slider-5,,2026-03-21 08:11:55 UTC,2026-03-21 08:11:55 UTC
314871,slider,,,.native-slider-5,,2026-03-21 08:11:55 UTC,2026-03-21 08:11:55 UTC
314872,mousemove,1059,432,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:55 UTC,2026-03-21 08:11:55 UTC
314873,mousemove,1088,432,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:55 UTC,2026-03-21 08:11:56 UTC
314874,mousemove,1100,431,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:56 UTC,2026-03-21 08:11:56 UTC
314875,slider,,,.native-slider-5,,2026-03-21 08:11:56 UTC,2026-03-21 08:11:56 UTC
314876,mousemove,1184,424,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:56 UTC,2026-03-21 08:11:56 UTC
314877,slider,,,.native-slider-5,,2026-03-21 08:11:56 UTC,2026-03-21 08:11:56 UTC
